ime,id,leto,minplay,maxplay,mintime,maxtime,minage,ocena,glasovi
Catan,13,1995,3,4,60,120,10,7.1791,88579
Carcassonne,822,2000,2,5,30,45,8,7.42312,88383
Pandemic,30549,2008,2,4,45,45,8,7.62693,87254
7 Wonders,68448,2010,2,7,30,30,10,7.77183,72419
Dominion,36218,2008,2,4,30,30,13,7.6371,70461
Ticket to Ride,9209,2004,2,5,30,60,8,7.43978,62701
Agricola,31260,2007,1,5,30,150,12,7.97815,58647
Puerto Rico,3076,2002,3,5,90,150,12,8.02597,57967
Small World,40692,2009,2,5,40,80,8,7.29076,55364
Codenames,178900,2015,2,8,15,15,14,7.68118,54883
Power Grid,2651,2004,2,6,120,120,12,7.88343,51486
King of Tokyo,70323,2011,2,6,30,30,8,7.21686,50656
Ticket to Ride: Europe,14996,2005,2,5,30,60,8,7.55494,49718
Love Letter,129622,2012,2,4,20,20,10,7.24439,48955
Splendor,148228,2014,2,4,30,30,10,7.46787,48314
Terraforming Mars,167791,2016,1,5,120,120,12,8.41187,44904
7 Wonders Duel,173346,2015,2,2,30,30,10,8.11276,44858
Citadels,478,2000,2,8,20,60,10,7.09491,44774
Scythe,169786,2016,1,5,90,115,14,8.26949,44234
Dixit,39856,2008,3,6,30,30,8,7.28233,43503
Race for the Galaxy,28143,2007,2,4,30,60,12,7.76225,41900
Lords of Waterdeep,110327,2012,2,5,60,120,12,7.76312,40349
Stone Age,34635,2008,2,4,60,90,10,7.59176,39779
The Castles of Burgundy,84876,2011,2,4,30,90,12,8.12672,39015
Munchkin,1927,2001,3,6,60,120,10,5.91498,37270
Forbidden Island,65244,2010,2,4,30,30,10,6.81159,36822
Patchwork,163412,2014,2,2,15,30,8,7.69504,36438
Twilight Struggle,12333,2005,2,2,120,180,13,8.31891,35934
Arkham Horror,15987,2005,1,8,120,240,14,7.28273,34954
Bohnanza,11,1997,2,7,45,45,13,7.04043,34867
Azul,230802,2017,2,4,30,45,8,7.88663,34576
Dead of Winter: A Crossroads Game,150376,2014,2,5,60,120,13,7.64559,34550
Terra Mystica,120677,2012,2,5,60,150,12,8.17762,34148
Hanabi,98778,2010,2,5,25,25,8,7.12302,33633
Pandemic Legacy: Season 1,161936,2015,2,4,60,60,13,8.62842,33448
Lost Cities,50,1999,2,2,30,30,10,7.16082,33057
The Resistance,41114,2009,5,10,30,30,13,7.31799,32797
Betrayal at House on the Hill,10547,2004,3,6,60,60,12,7.07131,31998
Coup,131357,2012,2,6,15,15,13,7.0285,30790
Battlestar Galactica: The Board Game,37111,2008,3,6,120,180,14,7.73978,30652
Star Realms,147020,2014,2,2,20,20,12,7.60432,30329
Jaipur,54043,2009,2,2,30,30,12,7.51486,30023
Takenoko,70919,2011,2,4,45,45,8,7.29614,29522
Gloomhaven,174430,2017,1,4,60,120,12,8.86799,28997
Magic: The Gathering,463,1993,2,2,20,20,13,7.48699,28947
