id,kategorija
13,Negotiation
822,City Building
822,Medieval
822,Territory Building
30549,Medical
68448,Ancient
68448,Card Game
68448,City Building
68448,Civilization
36218,Card Game
36218,Medieval
9209,Trains
31260,Animals
31260,Economic
31260,Farming
3076,City Building
3076,Economic
3076,Farming
40692,Fantasy
40692,Fighting
40692,Territory Building
178900,Card Game
178900,Deduction
178900,Party Game
178900,Spies\/Secret Agents
178900,Word Game
2651,Economic
2651,Industry \/ Manufacturing
70323,Dice
70323,Fighting
70323,Movies \/ TV \/ Radio theme
70323,Science Fiction
14996,Trains
129622,Card Game
129622,Deduction
129622,Renaissance
148228,Card Game
148228,Economic
148228,Renaissance
167791,Economic
167791,Environmental
167791,Industry \/ Manufacturing
167791,Science Fiction
167791,Space Exploration
167791,Territory Building
173346,Ancient
173346,Card Game
173346,City Building
173346,Civilization
478,Bluffing
478,Card Game
478,City Building
478,Fantasy
478,Medieval
169786,Economic
169786,Fighting
169786,Science Fiction
169786,Territory Building
39856,Card Game
39856,Humor
39856,Party Game
28143,Card Game
28143,Civilization
28143,Economic
28143,Science Fiction
28143,Space Exploration
110327,City Building
110327,Fantasy
34635,Dice
34635,Prehistoric
84876,Dice
84876,Medieval
84876,Territory Building
1927,Card Game
1927,Fantasy
1927,Fighting
1927,Humor
65244,Adventure
65244,Fantasy
163412,Abstract Strategy
163412,Puzzle
12333,Modern Warfare
12333,Political
12333,Wargame
15987,Adventure
15987,Fantasy
15987,Fighting
15987,Horror
15987,Novel-based
11,Card Game
11,Farming
11,Negotiation
230802,Abstract Strategy
230802,Renaissance
150376,Bluffing
150376,Deduction
150376,Horror
150376,Zombies
120677,Civilization
120677,Economic
120677,Fantasy
120677,Territory Building
98778,Card Game
98778,Deduction
98778,Memory
161936,Environmental
161936,Medical
50,Card Game
50,Exploration
41114,Bluffing
41114,Card Game
41114,Deduction
41114,Negotiation
41114,Party Game
41114,Science Fiction
10547,Adventure
10547,Exploration
10547,Horror
10547,Miniatures
131357,Bluffing
131357,Card Game
131357,Deduction
131357,Party Game
131357,Political
37111,Bluffing
37111,Deduction
37111,Movies \/ TV \/ Radio theme
37111,Political
37111,Science Fiction
37111,Space Exploration
147020,Card Game
147020,Fighting
147020,Science Fiction
54043,Animals
54043,Card Game
70919,Animals
70919,Environmental
70919,Farming
70919,Territory Building
174430,Adventure
174430,Exploration
174430,Fantasy
174430,Fighting
174430,Miniatures
463,Card Game
463,Collectible Components
463,Fantasy
463,Fighting
121921,Adventure
121921,Exploration
121921,Fighting
121921,Novel-based
133473,Card Game
40834,Card Game
40834,Medieval
170216,Fantasy
170216,Fighting
170216,Miniatures
170216,Mythology
157354,Animals
157354,Arabian
157354,Fantasy
157354,Mythology
181,Territory Building
181,Wargame
31481,Real-time
31481,Science Fiction
31481,Space Exploration
31481,Transportation
6249,Arabian
6249,City Building
6249,Medieval
2655,Abstract Strategy
2655,Animals
126163,Ancient
126163,Civilization
126163,Economic
126163,Farming
126163,Mythology
181304,Deduction
181304,Horror
181304,Murder\/Mystery
181304,Party Game
103343,Bluffing
103343,Fantasy
103343,Negotiation
103343,Novel-based
103343,Political
103343,Wargame
157969,Bluffing
157969,Card Game
157969,Humor
157969,Medieval
157969,Negotiation
157969,Novel-based
18602,City Building
18602,Economic
18602,Medieval
