id,nacin_igranja
13,Dice Rolling
13,Hexagon Grid
13,Income
13,Modular Board
13,Network and Route Building
13,Race
822,Area Majority \/ Influence
822,Tile Placement
30549,Action Points
30549,Cooperative Game
30549,Hand Management
30549,Point to Point Movement
30549,Set Collection
30549,Solo \/ Solitaire Game
68448,Card Drafting
68448,Drafting
68448,Hand Management
68448,Set Collection
68448,Simultaneous Action Selection
68448,Variable Player Powers
36218,"Deck, Bag, and Pool Building"
36218,Hand Management
36218,Take That
36218,Variable Setup
9209,Card Drafting
9209,Hand Management
9209,Network and Route Building
9209,Set Collection
31260,Action Drafting
31260,Automatic Resource Growth
31260,Card Drafting
31260,Enclosure
31260,Hand Management
31260,Increase Value of Unchosen Resources
3076,Action Drafting
3076,End Game Bonuses
3076,Follow
3076,Hidden Victory Points
3076,Increase Value of Unchosen Resources
3076,Turn Order: Progressive
40692,Area Majority \/ Influence
40692,Area Movement
40692,Dice Rolling
40692,Variable Player Powers
178900,Communication Limits
178900,Memory
178900,Push Your Luck
178900,Team-Based Game
2651,Auction: Turn Order Until Pass
2651,Market
2651,Network and Route Building
2651,Turn Order: Stat-Based
70323,Card Drafting
70323,Dice Rolling
70323,Player Elimination
70323,Push Your Luck
14996,Card Drafting
14996,Hand Management
14996,Network and Route Building
14996,Set Collection
129622,Hand Management
129622,Player Elimination
148228,Card Drafting
148228,Contracts
148228,Set Collection
167791,Drafting
167791,End Game Bonuses
167791,Hand Management
167791,Income
167791,Set Collection
167791,Take That
173346,Card Drafting
173346,Drafting
173346,Set Collection
173346,Sudden Death Ending
173346,Tug of War
478,Action Drafting
478,Card Drafting
478,Set Collection
478,Turn Order: Role Order
478,Variable Player Powers
169786,Area Majority \/ Influence
169786,Grid Movement
169786,Variable Player Powers
39856,Communication Limits
39856,Simultaneous Action Selection
39856,Storytelling
39856,Voting
28143,Hand Management
28143,Simultaneous Action Selection
28143,Variable Phase Order
28143,Variable Player Powers
110327,Card Drafting
110327,Contracts
110327,Increase Value of Unchosen Resources
110327,Ownership
110327,Set Collection
110327,Take That
34635,Dice Rolling
34635,Set Collection
34635,Turn Order: Progressive
34635,Worker Placement
84876,Dice Rolling
84876,Set Collection
84876,Tile Placement
84876,Turn Order: Stat-Based
1927,Card Drafting
1927,Dice Rolling
1927,Hand Management
1927,Take That
1927,Variable Player Powers
65244,Action Points
65244,Cooperative Game
65244,Grid Movement
65244,Hand Management
65244,Modular Board
65244,Pick-up and Deliver
163412,Card Drafting
163412,Grid Coverage
163412,Square Grid
163412,Tile Placement
163412,Time Track
12333,Action\/Event
12333,Advantage Token
12333,Area Majority \/ Influence
12333,Campaign \/ Battle Card Driven
12333,Dice Rolling
12333,Hand Management
15987,Cooperative Game
15987,Dice Rolling
15987,Hand Management
15987,Point to Point Movement
15987,Role Playing
15987,Semi-Cooperative Game
11,Hand Management
11,Set Collection
11,Trading
230802,Card Drafting
230802,Pattern Building
230802,Set Collection
230802,Tile Placement
150376,Action Points
150376,Area Movement
150376,Cooperative Game
150376,Dice Rolling
150376,Hand Management
150376,Push Your Luck
120677,End Game Bonuses
120677,Income
120677,Increase Value of Unchosen Resources
120677,Network and Route Building
120677,Turn Order: Pass Order
120677,Variable Player Powers
98778,Communication Limits
98778,Cooperative Game
98778,Hand Management
98778,Memory
98778,Set Collection
161936,Action Points
161936,Cooperative Game
161936,Hand Management
161936,Legacy Game
161936,Point to Point Movement
161936,Set Collection
50,Hand Management
50,Set Collection
41114,Hidden Roles
41114,Memory
41114,Simultaneous Action Selection
41114,Team-Based Game
41114,Traitor Game
41114,Voting
10547,Dice Rolling
10547,Modular Board
10547,Player Elimination
10547,Role Playing
10547,Storytelling
10547,Team-Based Game
131357,Memory
131357,Player Elimination
131357,Take That
131357,Variable Player Powers
37111,Area Movement
37111,Dice Rolling
37111,Hand Management
37111,Hidden Roles
37111,Once-Per-Game Abilities
37111,Role Playing
147020,Card Drafting
147020,"Deck, Bag, and Pool Building"
147020,Hand Management
147020,Take That
54043,Card Drafting
54043,Hand Management
54043,Set Collection
70919,Action Points
70919,Dice Rolling
70919,Grid Movement
70919,Modular Board
70919,Network and Route Building
70919,Pattern Building
174430,Campaign \/ Battle Card Driven
174430,Cooperative Game
174430,Grid Movement
174430,Hand Management
174430,Modular Board
174430,Role Playing
463,Hand Management
463,Take That
121921,Action Queue
121921,Cooperative Game
121921,Dice Rolling
121921,Hexagon Grid
121921,Solo \/ Solitaire Game
121921,Tile Placement
133473,Card Drafting
133473,Hand Management
133473,Set Collection
133473,Simultaneous Action Selection
40834,Card Drafting
40834,"Deck, Bag, and Pool Building"
40834,Hand Management
170216,Action Points
170216,Area Majority \/ Influence
170216,Area Movement
170216,Card Drafting
170216,Hand Management
170216,Memory
157354,Area Majority \/ Influence
157354,Auction\/Bidding
157354,Card Drafting
157354,"Deck, Bag, and Pool Building"
157354,Drafting
157354,Mancala
181,Area Majority \/ Influence
181,Area Movement
181,Dice Rolling
181,Player Elimination
181,Set Collection
31481,Dice Rolling
31481,Real-Time
31481,Team-Based Game
31481,Tile Placement
